Model,Region,Perturbation_Level,Baseline_Accuracy,Perturbed_Accuracy,Accuracy_Drop,Robustness_Score,Average_Robustness_Score,Rank
ResNet-50,Early,5,87.0,50.0,37.0,0.5747126436781609,0.632183908045977,1
ResNet-50,Early,10,87.0,21.0,66.0,0.24137931034482762,0.632183908045977,1
ResNet-50,Early,15,87.0,20.0,67.0,0.22988505747126442,0.632183908045977,1
ResNet-50,Middle,5,87.0,83.0,4.0,0.9540229885057472,0.632183908045977,1
ResNet-50,Middle,10,87.0,55.00000000000001,31.999999999999993,0.632183908045977,0.632183908045977,1
ResNet-50,Middle,15,87.0,15.0,72.0,0.1724137931034483,0.632183908045977,1
ResNet-50,Final,5,87.0,86.0,1.0,0.9885057471264368,0.632183908045977,1
ResNet-50,Final,10,87.0,82.0,5.0,0.9425287356321839,0.632183908045977,1
ResNet-50,Final,15,87.0,83.0,4.0,0.9540229885057472,0.632183908045977,1
InceptionV3,Early,5,75.0,17.0,58.0,0.22666666666666668,0.5614814814814815,2
InceptionV3,Early,10,75.0,24.0,51.0,0.31999999999999995,0.5614814814814815,2
InceptionV3,Early,15,75.0,10.0,65.0,0.1333333333333333,0.5614814814814815,2
InceptionV3,Middle,5,75.0,65.0,10.0,0.8666666666666667,0.5614814814814815,2
InceptionV3,Middle,10,75.0,35.0,40.0,0.4666666666666667,0.5614814814814815,2
InceptionV3,Middle,15,75.0,5.0,70.0,0.06666666666666665,0.5614814814814815,2
InceptionV3,Final,5,75.0,74.0,1.0,0.9866666666666667,0.5614814814814815,2
InceptionV3,Final,10,75.0,75.0,0.0,1.0,0.5614814814814815,2
InceptionV3,Final,15,75.0,74.0,1.0,0.9866666666666667,0.5614814814814815,2
